"department","code","website","college_code"
"Asian American Studies","AAS","aasp.illinois.edu","KV"
"Agricultural and Biological Engineering","ABE","www.abe.illinois.edu","KL"
"Accountancy","ACCY","www.business.illinois.edu/accountancy/","KM"
"Agricultural and Consumer Economics","ACE","www.ace.uiuc.edu","KL"
"Agricultural, Consumer and Environmental Sciences","ACES","www.academics.aces.illinois.edu","KL"
"Charles H. Sandage Department of Advertising","ADV","www.media.illinois.edu/degrees/advertising-bs-ms","KT"
"Aerospace Engineering","AE","www.ae.illinois.edu/","KP"
"Air Force Aerospace Studies","AFAS","afrotc.illinois.edu","LD"
"African American Studies","AFRO","www.afro.illinois.edu/","KV"
"African Studies, Center for","AFST","www.afrst.illinois.edu","KV"
"College of Aces","AGCM","//agcomm.illinois.edu/","KL"
"Agricultural Education Program","AGED","www.aged.illinois.edu","KL"
"Applied Health Sciences Courses","AHS","www.ahs.uiuc.edu","KY"
"American Indian Studies","AIS","ais.illinois.edu","KV"
"Animal Sciences","ANSC","www.ansci.illinois.edu","KL"
"Anthropology","ANTH","anthro.illinois.edu","KV"
"Linguistics","ARAB","//arabic.linguistics.illinois.edu/","KV"
"Architecture, School of","ARCH","www.arch.illinois.edu","KR"
"Art and Design, School of","ART","www.art.illinois.edu","KR"
"Art and Design, School of","ARTD","//www.art.illinois.edu/","KR"
"Art and Design, School of","ARTE","www.art.illinois.edu","KR"
"Art and Design, School of","ARTF","www.art.illinois.edu","KR"
"Art and Design, School of","ARTH","www.art.illinois.edu","KR"
"Art and Design, School of","ARTS","www.art.illinois.edu","KR"
"Mathematics","ASRM","www.math.illinois.edu/","KV"
"East Asian Languages and Cultures","ASST","www.ealc.ilinois.edu","KV"
"Astronomy","ASTR","www.astro.illinois.edu","KV"
"Atmospheric Sciences","ATMS","atmos.illinois.edu","KV"
"Business Administration","BADM","www.business.illinois.edu/ba","KM"
"Spanish and Portuguese","BASQ","//www.spanport.illinois.edu/undergrad/basque/","KV"
"Psychology","BCOG","www.psych.illinois.edu","KV"
"Slavic Languages and Literature","BCS","www.slavic.illinois.edu/","KV"
"Biochemistry","BIOC","//mcb.illinois.edu/departments/biochemistry/","KV"
"Bioengineering","BIOE","www.bioen.illinois.edu","KP"
"Integrative Biology, School of","BIOL","www.life.uiuc.edu/sib","KV"
"Biophysics and Quantitative Biology, Center for","BIOP","biophysics.illinois.edu","KV"
"Carle Illinois College of Medicine","BSE","medicine.illinois.edu","LT"
"English","BTW","www.english.uiuc.edu","KV"
"Business","BUS","www.business.illinois.edu","KM"
"Advanced Study, Center for","CAS","www.cas.uiuc.edu","KS"
"Comparative Biosciences","CB","www.vetmed.illinois.edu/cb/","LC"
"Cell & Developmental Biology","CDB","//mcb.illinois.edu/departments/cdb/","KV"
"Civil and Environmental Engineering","CEE","www.cee.illinois.edu","KP"
"Chemical and Biomolecular Engineering","CHBE","www.scs.illinois.edu/chem_eng","KV"
"Chemistry","CHEM","www.chemistry.illinois.edu","KV"
"East Asian Languages and Cultures","CHIN","www.ealc.uiuc.edu","KV"
"Kinesiology & Community Health","CHLH","www.kch.illinois.edu/","KY"
"Campus Honors Program","CHP","www.honors.illinois.edu","KV"
"Curriculum and Instruction","CI","www.education.illinois.edu/ci","KN"
"Graduate College","CIC","//www.cic.net/home","KS"
"Classics","CLCV","www.classics.illinois.edu","KV"
"Carle Illinois College of Medicine","CLE","medicine.illinois.edu","LT"
"Communication","CMN","communication.illinois.edu","KV"
"Crop Sciences","CPSC","www.cropsciences.illinois.edu/","KL"
"Computer Science","CS","www.cs.illinois.edu","KP"
"Computational Science and Engineering","CSE","www.cse.illinois.edu","KP"
"English","CW","//creativewriting.english.illinois.edu/","KV"
"Comparative and World Literature","CWL","www.complit.illinois.edu","KV"
"Dance","DANC","www.dance.illinois.edu/","KR"
"East Asian Languages and Cultures","EALC","www.ealc.illinois.edu","KV"
"Electrical and Computer Engineering","ECE","www.ece.illinois.edu","KP"
"Economics","ECON","www.economics.uiuc.edu","KV"
